Kabupaten/Kota,Pengeluaran per Kapita (Minggu),Rata-rata Pengeluaran Rokok Perkapita Seminggu
Boalemo,183519,17449.71
Gorontalo,189423,14848.97
Pohuwato,209865,19249.92
Bone Bolango,205308,14517.14
Gorontalo Utara,185308,17652.83
Kota Gorontalo,251481,14407.21
Majene,195231,12813.86
Polewali Mandar,167808,15238.61
Mamasa,150712,10664.77
Mamuju,185923,17733.11
Mamuju Utara / Pasangkayu,217885,27400.40
Mamuju Tengah,166019,22562.43
Maluku Tenggara Barat / Kepulauan Tanimbar,124481,14611.81
Maluku Tenggara,149904,12058.71
Maluku Tengah,200115,14261.41
Buru,200269,18000.08
Kepulauan Aru,148712,14892.92
Seram Bagian Barat,170962,13439.36
Seram Bagian Timur,184442,16566.84
Maluku Barat Daya,134808,10451.06
Buru Selatan,148385,10261.29
Kota Ambon,277019,16615.35
Kota Tual,144596,13827.43
Halmahera Barat,146846,15659.65
Halmahera Tengah,157923,28241.99
Kepulauan Sula,142635,17532.76
Halmahera Selatan,143827,26711.38
Halmahera Utara,149500,16286.28
Halmahera Timur,158269,24192.08
Pulau Morotai,130135,22247.27
Pulau Taliabu,127365,20330.35
Kota Ternate,261269,18596.15
Kota Tidore Kepulauan,165115,21552.18
Fakfak,147654,28376.81
Kaimana,162558,17571.42
Teluk Wondama,157250,27011.55
Teluk Bintuni,191904,34674.53
Manokwari,234212,19738.47
Sorong Selatan,121962,15673.71
Sorong,146288,23226.02
Tambrauw,97769.2,27527.12
Maybrat,104327,25219.97
Manokwari Selatan,109442,20043.54
Pegunungan Arfak,100077,5094.93
Merauke,200462,24972.13
Jayapura,196731,20167.41
Kepulauan Yapen,147788,20689.52
Biak Numfor,188231,10620.89
Boven Digoel,155500,23725.38
Mappi,125962,17303.82
Asmat,112692,13981.72
Sarmi,132000,19580.97
Keerom,176019,26885.54
Waropen,133058,19013.03
Supiori,113538,13299.78
Mamberamo Raya,92423.1,21997.23
